Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0x61c183b098a4928e2f7897ff484d3cfbb75cb88529c4851dffaeec5f3115b4a7,19263451,2024-08-09 00:17:20,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,614,VVET,0,received 614 VVET
0x92a35c24b537dc9cc8bd8f220e645b22b2cc5a9d9abd2b401cc8d1ca7aa06088,19263462,2024-08-09 00:19:10,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,4975,VVET,0,received 4975 VVET
0x81354f038c2afd109100926b86b058ae279c1ec795f2147db6d30447166ff649,19263463,2024-08-09 00:19:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-701.486350136211629431,VVET,0,sent 701.486350136211629431 VVET
0xe50f828856573886296abb24a6f04bf56f8ac31ec6a8ae28788e560827399940,19263464,2024-08-09 00:19:30,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,4975,VVET,0,received 4975 VVET
0x65db05c8686ced308c01f66099ca067b05649622b34d9c32da472fa8f03d996a,19263465,2024-08-09 00:19:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-823.244223657003957987,VVET,0,sent 823.244223657003957987 VVET
0x76bc34264415d457bf80839adfcdbd859fd925c2bf83447af8e136cdc46a0a38,19263524,2024-08-09 00:29:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-100,VVET,0,sent 100 VVET
0x879b4b7416abfb337f6d721eb6d68d3a0cc129a5aa6d3bf407ed299ec2eb99af,19263531,2024-08-09 00:30:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-930.794808932880840745,VVET,0,sent 930.794808932880840745 VVET
0xc00c6f919a36e9bdbe538db673f463c4630adb3129ea797ad80fb0d14ba37764,19263658,2024-08-09 00:51:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-617.202894562512418635,VVET,0,sent 617.202894562512418635 VVET
0x5200fbf01bc70a297b44b63e1407dbd1992074fbf7041236b791a0bd1be944b4,19263660,2024-08-09 00:52:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-611.201879566516193143,VVET,0,sent 611.201879566516193143 VVET
0x28ec1c70950e8a74216991c6416e4cb12aaab507934289beb3fcb5efa4f5a205,19263663,2024-08-09 00:52:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-605.28800522182171177,VVET,0,sent 605.28800522182171177 VVET
0x94bc6fe02d6d45cc97178b70fc81a770c5f71ce0449d855b1486d3cf099ee0c5,19263666,2024-08-09 00:53:10,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,100,VVET,0,received 100 VVET
0x625f05286553a355cd25d19123fba9cb9262e60fc5aacea588d79dc283dfbb14,19263679,2024-08-09 00:55:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-2374.902244121958687341,VVET,0,sent 2374.902244121958687341 VVET
0x657cc1a41818d8333473e6573138f0e3ea0336e21e925395b302212feba2cdd8,19263680,2024-08-09 00:55:30,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,434,VVET,0,received 434 VVET
0x18faf671ed0f7c34834cf4e6ed155d70faeff5ff8f3dc9afc98903bada44eba5,19263682,2024-08-09 00:55:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,3710,VVET,0,received 3710 VVET
0x865b3f4784ae7f5a85e05c33cd647c4b3e23fe8c9c1dbe52ff5af2853ce0cc4f,19263683,2024-08-09 00:56:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-484.984155136241010286,VVET,0,sent 484.984155136241010286 VVET
0xf189cc9b15ddaab9f9be219850e138500bdf5ba3eced490a9499c66b13ecde6c,19263811,2024-08-09 01:17:20,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2835,VVET,0,received 2835 VVET
0xd806b8629f34f879986b44b5a40a2541d088e806b45051c70656d470c62da027,19263812,2024-08-09 01:17:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-461.792096554935068275,VVET,0,sent 461.792096554935068275 VVET
0xcddfb1ebe05c1a2f1fe15bf4a0e9b6555cc93ab49b2d06a92f9073b0d8d3dc27,19263964,2024-08-09 01:42:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-62.071409117107449356,VVET,0,sent 62.071409117107449356 VVET
0xf1ef07e2e26575515c755b58fa161878f8433fb9d88e234d6204a7d0ae13bd60,19264087,2024-08-09 02:03:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-256.970168458434847575,VVET,0,sent 256.970168458434847575 VVET
0x6784fec0e76e9293431394e6c5e68eaf7d43f95625e00f4f38cbe31a1c5e8e59,19264090,2024-08-09 02:03:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-265.17913383898676696,VVET,0,sent 265.17913383898676696 VVET
0xc9d99577190e32c840c643f4196d4ec0b59957cc7370bc6a492e1e2364bd9009,19264105,2024-08-09 02:06:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-343.40280348888557176,VVET,0,sent 343.40280348888557176 VVET
