Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0xe287f146967ad1f2a71edf6e56a17127762455d661ddd9b4d45a708a40f2f455,19476793,2024-09-02 16:54:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-523.510810535362859126,VVET,0,sent 523.510810535362859126 VVET
0x7ea555800a819c40f8a53c030d8b5a4f0ed551156e2d0237ae3f419026c69514,19476848,2024-09-02 17:03:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-246.698672133696371496,VVET,0,sent 246.698672133696371496 VVET
0x13e52dc0ae29e9509706a2fa460b6a19cb334d17abc4f0e223d6b753acf78fec,19476887,2024-09-02 17:10:20,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,5758.474054,VVET,0,received 5758.474054 VVET
0x561c762f5596d58753088318786898c2e11842cbed35388c2ebf07bc804a18b3,19476888,2024-09-02 17:10:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1661.570082460778186268,VVET,0,sent 1661.570082460778186268 VVET
0xfdd5ba5111ad3425c898299b30e1a1ada28a7cfd8b4c82e122adfabde90f92f6,19476903,2024-09-02 17:13:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-110.533346596011277277,VVET,0,sent 110.533346596011277277 VVET
0xd92103823607c8465adccd323302180bd6b4c444ed7195ba7318e74a72bfbf56,19476911,2024-09-02 17:14:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1040.469448159311131151,VVET,0,sent 1040.469448159311131151 VVET
0xe54bc88ba798e9d0aa64e2d122df8b61b0171973606daee9812e4082d103b44c,19476915,2024-09-02 17:15:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1027.884855661970529161,VVET,0,sent 1027.884855661970529161 VVET
0x0a8c849263235759eb55533dc7e73719449f0d820be44e83b43234ac4a4c4316,19476941,2024-09-02 17:19:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-29.247486379099087622,VVET,0,sent 29.247486379099087622 VVET
0x582acb7205e781084a9b887de358e47b2bee573ac1b7e83340c1e77cb6409013,19476986,2024-09-02 17:26:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,5000,VVET,0,received 5000 VVET
0x78c68e2e0103bcee97b7d7936fd58d1f59d5168a224d0ca35a7dee1d5543fe33,19476987,2024-09-02 17:27:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-933.259397655223153898,VVET,0,sent 933.259397655223153898 VVET
0xbd37e9a72f08deeba29da0773165394bea9786a12a0e0a966df9aa2caef79256,19476999,2024-09-02 17:29:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1052.612612156890215017,VVET,0,sent 1052.612612156890215017 VVET
0xbf8b2e36122c5748ad0d2c3bb43bae8ac61fe467445a6ec5ea453c540de5aa04,19477003,2024-09-02 17:29:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1039.878980981138321143,VVET,0,sent 1039.878980981138321143 VVET
0x8668903d088db7d08745f4e8de8a30b7e90f208cb0bfdb250a291485145ed624,19477014,2024-09-02 17:31:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1025.178520356390994758,VVET,0,sent 1025.178520356390994758 VVET
