Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0x374215a18c968b60055ab206f1cd7f9fbf38f24341e65008f86bcaaf38c7f5cf,19177371,2024-07-30 01:09:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-438.99878431994594115,VVET,0,sent 438.99878431994594115 VVET
0x844947c8e5a9332941d16f224791436318814b8b1b8bc855fa221595a84d0788,19177446,2024-07-30 01:22:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-36,VVET,0,sent 36 VVET
0x8802e08403b0cd26646557b6a9374beb915880ffd6521ee85fde7a8fb195c8ff,19177447,2024-07-30 01:22:10,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,365.484057365301313436,VVET,0,received 365.484057365301313436 VVET
0x1dedc5f1b8aaaabb289306c2ab823c67227127cb0a400b3bec3c9cbed32f36d3,19177450,2024-07-30 01:22:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-0.447518557792762092,VVET,0,sent 0.447518557792762092 VVET
0x032b84e55eee29b47df6a1e8582fab81bd92f1f8c045939040b59d71dbb35c34,19177650,2024-07-30 01:56:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-40.071595261096807519,VVET,0,sent 40.071595261096807519 VVET
0x45a8135cad3cd85937afb556e6bd188c00f7af44f6575fdccc6a5b9275f8fdcb,19177855,2024-07-30 02:30:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1,VVET,0,sent 1 VVET
0xb6815b1b1026cee480569657560fe807eea728e14c051db0a7848147dd3caa42,19177950,2024-07-30 02:46:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-204.889355450262978225,VVET,0,sent 204.889355450262978225 VVET
0x53c41eb5734a6971a8c8721cfe30a9b4118b60a2966b261c517d86e535208bf6,19178078,2024-07-30 03:07:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-53.460411177315723877,VVET,0,sent 53.460411177315723877 VVET
0x8b9776866f2d3c96e5891124c9ff6f39895df1441bf560c9324bb324633f036d,19178387,2024-07-30 03:58:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-18.143654963413158159,VVET,0,sent 18.143654963413158159 VVET
0x7786296a420f89fab02ca96fbcfccfd81b3efd74962397a1b0b4a1baa1efd5cb,19179038,2024-07-30 05:47:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-113.994754565558505051,VVET,0,sent 113.994754565558505051 VVET
