Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0xe6c2a3cfe723d2febb35eb3b14d47393cc8d90bec438c34205df9ac39645a8d4,19531225,2024-09-09 00:07:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-674.526708140690323977,VVET,0,sent 674.526708140690323977 VVET
0x2bd974c002bf61ef26f9abfc5797a67d647c29ea10e79b4cb88ca74c1b485a5e,19531225,2024-09-09 00:07:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1172.51988353111653466,VVET,0,sent 1172.51988353111653466 VVET
0x739f43b4f042e8cfa3552c0f7751115cfab667d3be072ec1e697476e7b812d67,19531226,2024-09-09 00:07:10,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,810,VVET,0,received 810 VVET
0x4c80737de20003313426146a0690c72c1d37ca133fc0412dbc0e314a33e57fe1,19531238,2024-09-09 00:09:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-3020.131276931696391149,VVET,0,sent 3020.131276931696391149 VVET
0x2b4b3d813b84f2bd5707c7d5fb02238510f83dfaa8083a5ded5aaddb1e325650,19531239,2024-09-09 00:09:20,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,1184,VVET,0,received 1184 VVET
0x022431805ce0aee79c8c76ba52b3e9df247245c7bd48dac00b3c83eafe0f447f,19531245,2024-09-09 00:10:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-300.672164392210308685,VVET,0,sent 300.672164392210308685 VVET
0x56fc518c8f049be99026eb26a870351ae3d3f169d8a70ed5ee95a8fdade97d8c,19531245,2024-09-09 00:10:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1828.633664292762321698,VVET,0,sent 1828.633664292762321698 VVET
0x08e5766a4d1f3aa9fa68c815b899925c14785653f022282697876e9904f243dd,19531246,2024-09-09 00:10:30,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,836,VVET,0,received 836 VVET
0x0cd7281977fff9339d6435dbeefaad8cf492c0ba9b3ef115a288433da5d849b4,19531250,2024-09-09 00:11:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-6427.69957354594367255,VVET,0,sent 6427.69957354594367255 VVET
0x461f608fee379bacbbb24732abbc2794a8734861925566f6cac3954939289fd8,19531251,2024-09-09 00:11:20,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2492,VVET,0,received 2492 VVET
0x1f483ba45d9b73eac7858de2cbc03fb085e48c4fcaf242ebe9231b74c96a2ee1,19531255,2024-09-09 00:12:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2000,VVET,0,received 2000 VVET
0xfb73d3b68e59be2ee677da9edcb6d6baff234ba847ead6b8bc09bcd0758f6055,19531256,2024-09-09 00:12:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-349.86716095572151823,VVET,0,sent 349.86716095572151823 VVET
0xb00ca3cb10ad4251f234fa51ed5f941eb8528085107f5b37e2b7f88c2dca15dd,19531261,2024-09-09 00:13:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2000,VVET,0,received 2000 VVET
0x9b68041896d4842f1a46bca539d2f105aed20a091033b09b1529bd0217308050,19531262,2024-09-09 00:13:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-945.849656275506741808,VVET,0,sent 945.849656275506741808 VVET
0x8ed5c865684e5bb7ecbcedc90dc52130e4478f83e8f3ed6a68503a30420f6ef6,19531266,2024-09-09 00:13:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2000,VVET,0,received 2000 VVET
0xd40eef937c8d5075ca67dc3f931fca185f1c2d4a7459ed0e99257a4c62a5f5c2,19531267,2024-09-09 00:14:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-788.713944706853603229,VVET,0,sent 788.713944706853603229 VVET
0x5c9ea7854ae92fbb6e4b25ff3ec457b90c1c14b92d8be0da592fca44e18919a7,19531269,2024-09-09 00:14:20,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2000,VVET,0,received 2000 VVET
0x63c6175dcde469989dcfd576f34bb3de4081c5ede0ea3aefb258c25760ed5999,19531270,2024-09-09 00:14:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-788.675851536047505412,VVET,0,sent 788.675851536047505412 VVET
0x6ecf33a691b2cc5c11219d38486994402f3634065a7d73a6db05bfd6c8e202b5,19531279,2024-09-09 00:16:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-721.454172318080706216,VVET,0,sent 721.454172318080706216 VVET
0x0a75868f574321f30aa8fd1a1c8b6c50079e2fc0f70a0fd9d5b26ff15d972824,19531282,2024-09-09 00:16:30,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2000,VVET,0,received 2000 VVET
0x51ac82a8fdc4ff42b8b525e9b91faa6db3dcc163aeb05400fea0e88bb7b36988,19531283,2024-09-09 00:16:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1054.150818275985663822,VVET,0,sent 1054.150818275985663822 VVET
0x39eab19de62dfedacfdc52b7e6ffc882f109652a9310f48b6c96bfcf362dd5e7,19531284,2024-09-09 00:16:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-120.462348357276775434,VVET,0,sent 120.462348357276775434 VVET
0x9baefaa21a18905b0039259ecdf517e2bba36e687e2d8f3d99d5719a788c6764,19531285,2024-09-09 00:17:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1384.624091085623389817,VVET,0,sent 1384.624091085623389817 VVET
0x587fade67b731fc78bfe5a7aeef37cdd4539a243840a2a5639255dc6b0a1fabd,19531291,2024-09-09 00:18:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,2000,VVET,0,received 2000 VVET
