Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0x9d8231cfe47192513186bb2d75317e9a71de89e7056b537372aa9db834d53d6a,18919551,2024-06-30 04:58:10,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,5.662999,VVET,0,received 5.662999 VVET
0x57cc7c0ec54a77cea53483213368c64e01f73173bc68867127b1f78145b5eebe,18921915,2024-06-30 11:32:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-0.962709829999999593,VVET,0,sent 0.962709829999999593 VVET
0x61302bf1e9c64b5026c126ab9b1abcb1b9c6aa009d8cd66b62fa6b0c3ad871b5,18922086,2024-06-30 12:00:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-0.000564533188301357,VVET,0,sent 0.000564533188301357 VVET
0x47a4b16eeeed4fb44d7feff9c754711bf22d2be1922824f1150f49a8a28e3e53,18922687,2024-06-30 13:41:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,5.661636,VVET,0,received 5.661636 VVET
0xb704707bd55f65415d0171d3981e3d438e88adfc24283f2ed7954e40f164cdd6,18922715,2024-06-30 13:45:40,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,169.849101,VVET,0,received 169.849101 VVET
0xdd433663afd33fc7ac011446e152d0f0992873e164b235b24d1947ab73d804e2,18922721,2024-06-30 13:46:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-42.462275249999999998,VVET,0,sent 42.462275249999999998 VVET
0x3a243d4e864f5c84659491ed9c01e68c22e141235d9087674c944711bf128371,18922728,2024-06-30 13:47:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,843.58387,VVET,0,received 843.58387 VVET
0x97448fd1b61ac8f471b651b2e392da551e70f7ccd9dfd0f64ad1f5783af6fd14,18922781,2024-06-30 13:56:40,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0.005661,VVET,0,received 0.005661 VVET
0x34a891b48632fe545aa76420690f7005d1450e2bdc8b184f4ae448c60c905f38,18922818,2024-06-30 14:02:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-213.613553065000000001,VVET,0,sent 213.613553065000000001 VVET
0xa079b1cc50221b62108b9d0a834424f323b39966a9f7994dfee22624c18dba83,18922822,2024-06-30 14:03:30,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,10,VVET,0,received 10 VVET
0x2394ecf9e85918fbcde8153a2c18e5230e78ce40bfb0715b2a48c5baeb7799c8,18923135,2024-06-30 14:55:40,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,644.89497,VVET,0,received 644.89497 VVET
0xb9e375dd3726f7ea45de838e8c083173b36671d414fe591e14ee0a4db15e133e,18923137,2024-06-30 14:56:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-169.454049230942392393,VVET,0,sent 169.454049230942392393 VVET
0x9ca02d64b731d7a54cf2f63690e1ed91d8b098b89014434db44c061121477c86,18923193,2024-06-30 15:05:20,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,340.390252,VVET,0,received 340.390252 VVET
0x0cef9d1fb148312878eea00ea468f32a300077adb892f9a7bc1f3a43e2624097,18923297,2024-06-30 15:22:40,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,5,VVET,0,received 5 VVET
0xdcbdc0d9f569fea7f26fd12ed7ee9ddddf157e595a6cefd17ccc85dfd576bd53,18923681,2024-06-30 16:26:40,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,20,VVET,0,received 20 VVET
0xa3e660a1e305ad822b13b527ababa756d44bf0e1b40132e9579b500f6dd0069b,18923748,2024-06-30 16:37:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,5.993308,VVET,0,received 5.993308 VVET
0x205db00e19a5cb3871d10e58d98bb98cc91607f17e28241d133b67c36ef7b773,18923752,2024-06-30 16:38:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-5.993307999999999993,VVET,0,sent 5.993307999999999993 VVET
0x73b8d96ea512eebe0a2b36f87a4a0bb6711340754dec884b8ec91b67cbd89e02,18924156,2024-06-30 17:45:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,161,VVET,0,received 161 VVET
0xd1d076547c5e09ed86ee8f84c750812be58a36c6b7cb2525f77b442b4c37a336,18924781,2024-06-30 19:30:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-104.647153019793182355,VVET,0,sent 104.647153019793182355 VVET
0xf03b65a1e881a80635a84f2cef351371f3e5c377b39c4bd4c80b4f59e2a58fda,18924822,2024-06-30 19:36:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,167,VVET,0,received 167 VVET
0xbe7fa1342a55e957eae2db5bdfa22c1d86773a8639df6155c321b0c82b4eb1c8,18924826,2024-06-30 19:37:30,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,166,VVET,0,received 166 VVET
0x37189aa5b746db2d97fb00c47f5149b2b79a464b1d277f3b631558e610ecc350,18924835,2024-06-30 19:39:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,166,VVET,0,received 166 VVET
0x1af1239ff764f6aa44035c4672ba328d73ef2800f56da7720e11e47fae7f8b1a,18924872,2024-06-30 19:45:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-42.228888505134154781,VVET,0,sent 42.228888505134154781 VVET
0xe51ff4d4fa97b1093559db49c37d203153c0891a814a05329f3339fb5b57b7da,18924887,2024-06-30 19:47:40,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-59.373005569351751423,VVET,0,sent 59.373005569351751423 VVET
